,State,AreaName,M_Poverty,F_Poverty,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,Incidence_Rate,Avg_Ann_Incidence,Mortality_Rate,Avg_Ann_Deaths,All_With,All_Without,Population
1453,MO,"Livingston County, Missouri",954,1319,43350.0,43799.0,,87969.0,,25430.0,868.0,18,70.4,15,12005,1759,13764
1454,MO,"McDonald County, Missouri",2218,2658,38368.0,39301.0,16350.0,26875.0,29839.0,32448.0,778.0,19,80.6,19,17549,5055,22604
1455,MO,"Macon County, Missouri",1311,1584,36976.0,37386.0,17466.0,,88500.0,16081.0,419.0,10,40.9,10,13234,1954,15188
1456,MO,"Madison County, Missouri",888,1350,35097.0,34890.0,,,,,1068.0,19,98.5,17,10527,1705,12232
1457,MO,"Maries County, Missouri",883,838,39700.0,40221.0,,74844.0,,,604.0,8,72.6,9,7718,1215,8933
1458,MO,"Marion County, Missouri",2181,2839,40814.0,41656.0,31304.0,,71500.0,,879.0,33,58.6,22,24178,3986,28164
1459,MO,"Mercer County, Missouri",269,315,40768.0,41031.0,,,,,1141.0,7,74.2,4,2945,717,3662
1460,MO,"Miller County, Missouri",2218,2724,38094.0,39131.0,,23113.0,,16721.0,888.0,28,68.4,22,21284,3394,24678
1461,MO,"Mississippi County, Missouri",1370,2272,28347.0,34033.0,20508.0,,,,100.0,18,97.2,17,10004,2502,12506
1462,MO,"Moniteau County, Missouri",896,989,47725.0,47576.0,,,,66250.0,546.0,10,46.6,8,12064,2413,14477
1463,MO,"Monroe County, Missouri",621,639,43138.0,43250.0,,44375.0,53750.0,,772.0,10,44.1,6,7359,1214,8573
1464,MO,"Montgomery County, Missouri",923,1102,39830.0,40322.0,26719.0,,,16667.0,83.0,14,50.7,9,10136,1462,11598
1465,MO,"Morgan County, Missouri",2515,2242,33525.0,34045.0,,,,62634.0,85.0,29,65.6,23,15287,4621,19908
1466,MO,"New Madrid County, Missouri",1799,2295,33630.0,37295.0,21612.0,,,43333.0,1127.0,28,84.5,21,14718,3324,18042
1467,MO,"Newton County, Missouri",3814,4563,43290.0,43572.0,42438.0,32173.0,46627.0,22381.0,578.0,42,55.5,40,49143,8977,58120
1468,MO,"Nodaway County, Missouri",2463,3219,35854.0,36329.0,,,21667.0,,735.0,18,48.7,12,19952,2332,22284
1469,MO,"Oregon County, Missouri",1355,1469,29851.0,30494.0,,12500.0,,,652.0,12,40.7,7,9030,1815,10845
1470,MO,"Osage County, Missouri",603,536,52693.0,52886.0,,,,,596.0,10,41.5,7,12642,977,13619
1471,MO,"Ozark County, Missouri",1023,1269,31399.0,31765.0,,,,8944.0,789.0,14,61.6,11,7903,1577,9480
1472,MO,"Pemiscot County, Missouri",2070,2998,29238.0,35411.0,15571.0,,,49023.0,886.0,19,90.5,19,14615,3042,17657
1473,MO,"Perry County, Missouri",765,1033,51499.0,51614.0,,,,33594.0,751.0,18,53.2,13,17398,1409,18807
1474,MO,"Pettis County, Missouri",3292,4192,39928.0,40686.0,40724.0,20938.0,,29663.0,712.0,35,55.3,27,35179,6269,41448
1475,MO,"Phelps County, Missouri",4289,3848,41618.0,42626.0,11517.0,58030.0,41504.0,30286.0,717.0,36,51.7,26,39108,5022,44130
1476,MO,"Pike County, Missouri",1017,1465,41750.0,42899.0,32550.0,41563.0,,26250.0,943.0,22,57.0,13,14125,2146,16271
1477,MO,"Platte County, Missouri",2824,4282,68254.0,70496.0,45786.0,76375.0,59122.0,61890.0,598.0,56,44.2,40,84953,7510,92463
1478,MO,"Polk County, Missouri",2420,3095,41130.0,41725.0,2499.0,21187.0,,48636.0,66.0,26,54.0,21,26790,3915,30705
1479,MO,"Pulaski County, Missouri",2598,3183,47931.0,48184.0,48920.0,,78450.0,45300.0,1034.0,35,67.9,23,34850,5222,40072
1480,MO,"Putnam County, Missouri",444,482,36346.0,36212.0,,,,,929.0,7,63.3,5,4097,745,4842
1481,MO,"Ralls County, Missouri",511,743,47345.0,47413.0,41875.0,,,,67.0,9,65.7,9,8894,1295,10189
1482,MO,"Randolph County, Missouri",1944,2451,37832.0,39595.0,15709.0,,,,848.0,25,62.8,18,20125,3073,23198
1483,MO,"Ray County, Missouri",1755,1843,52526.0,52587.0,,108200.0,250001.0,50625.0,928.0,27,77.3,22,20629,2121,22750
1484,MO,"Reynolds County, Missouri",658,703,35648.0,36265.0,,15938.0,,,684.0,7,59.6,6,5625,819,6444
1485,MO,"Ripley County, Missouri",1376,1791,32444.0,33000.0,,,,,95.0,20,82.0,17,11567,2350,13917
1486,MO,"St. Charles County, Missouri",10046,12976,72415.0,72967.0,55829.0,63958.0,86996.0,66224.0,737.0,264,50.0,176,347328,25716,373044
1487,MO,"St. Clair County, Missouri",1042,1114,32046.0,32110.0,,23750.0,,54318.0,736.0,13,66.6,12,7615,1673,9288
1488,MO,"Ste. Genevieve County, Missouri",925,1615,47014.0,46981.0,16767.0,,,25313.0,536.0,13,62.5,15,16598,1185,17783
1489,MO,"St. Francois County, Missouri",4933,6205,39741.0,39960.0,20662.0,,,16335.0,1068.0,82,76.7,59,50666,7774,58440
1490,MO,"St. Louis County, Missouri",44437,62384,59755.0,68469.0,38698.0,42890.0,82545.0,48561.0,69.0,854,45.9,574,901293,88153,989446
1491,MO,"Saline County, Missouri",1786,2022,40101.0,40827.0,26699.0,,,37056.0,743.0,22,52.1,16,20810,2070,22880
1492,MO,"Schuyler County, Missouri",407,507,37500.0,37500.0,,,,,642.0,4,70.0,4,3517,826,4343
1493,MO,"Scotland County, Missouri",279,451,39772.0,39798.0,,,,,58.0,4,53.8,4,3419,1359,4778
1494,MO,"Scott County, Missouri",3283,4209,39162.0,41102.0,28083.0,,,28250.0,99.0,49,73.8,36,33604,4993,38597
1495,MO,"Shannon County, Missouri",808,1130,32404.0,34736.0,,21311.0,,,703.0,9,57.8,7,6859,1394,8253
1496,MO,"Shelby County, Missouri",466,626,39087.0,39247.0,,,,,719.0,7,39.6,3,5028,944,5972
1497,MO,"Stoddard County, Missouri",1898,2685,38203.0,38544.0,30461.0,,,46250.0,934.0,39,71.2,30,24956,4480,29436
1498,MO,"Stone County, Missouri",2154,2993,40510.0,40720.0,,21458.0,,39907.0,665.0,39,50.0,28,26149,4972,31121
1499,MO,"Sullivan County, Missouri",407,659,40197.0,39549.0,63750.0,,75000.0,43281.0,886.0,8,54.6,5,5472,983,6455
1500,MO,"Taney County, Missouri",4609,5216,38357.0,38264.0,46223.0,52969.0,,32845.0,806.0,58,52.4,38,41880,11223,53103
1501,MO,"Texas County, Missouri",2506,2708,35088.0,35268.0,,50313.0,,,71.0,26,56.1,21,20372,3898,24270
1502,MO,"Vernon County, Missouri",1645,2119,40693.0,40493.0,,,,8750.0,759.0,21,61.9,17,16938,3465,20403
1503,MO,"Warren County, Missouri",2131,2376,51133.0,52289.0,30733.0,75417.0,,30699.0,76.0,30,56.9,22,29031,3834,32865
1504,MO,"Washington County, Missouri",2223,2807,35305.0,35410.0,10536.0,14219.0,,,93.0,28,81.1,24,20255,3706,23961
1505,MO,"Wayne County, Missouri",1342,1618,33750.0,34215.0,,,,,1149.0,25,87.9,19,11086,2169,13255
1506,MO,"Webster County, Missouri",3198,3535,44451.0,44887.0,,44583.0,85833.0,42682.0,739.0,30,49.0,19,28652,7168,35820
1507,MO,"Worth County, Missouri",127,167,45952.0,46131.0,,,,,,3 or fewer,,*,1765,257,2022
1508,MO,"Wright County, Missouri",2173,2421,29778.0,29153.0,,,,,834.0,21,69.4,18,14736,3516,18252
1509,MO,"St. Louis city, Missouri",37160,46256,35599.0,50042.0,23155.0,33144.0,34193.0,34264.0,889.0,275,66.2,204,261166,51920,313086
1648,NC,"Alamance County, North Carolina",13130,15912,41814.0,46497.0,31451.0,22167.0,60982.0,31018.0,713.0,131,51.8,95,130514,23679,154193
1649,NC,"Alexander County, North Carolina",3003,3188,39365.0,39393.0,44750.0,,63750.0,34338.0,757.0,36,51.1,24,31744,4282,36026
1650,NC,"Alleghany County, North Carolina",852,1134,36968.0,38681.0,,53276.0,,18059.0,624.0,12,59.3,11,8850,1933,10783
1651,NC,"Anson County, North Carolina",2550,3315,33228.0,43388.0,25400.0,,32000.0,29211.0,805.0,26,56.3,18,20094,4257,24351
1652,NC,"Ashe County, North Carolina",2737,2773,36267.0,36623.0,13750.0,,,21836.0,701.0,30,52.1,22,22265,4588,26853
1653,NC,"Avery County, North Carolina",1240,1110,37777.0,38525.0,,,,20139.0,655.0,17,49.0,13,12789,2949,15738
1654,NC,"Beaufort County, North Carolina",3746,4914,40391.0,46998.0,25176.0,,,26533.0,835.0,58,59.1,41,40668,6530,47198
1655,NC,"Bertie County, North Carolina",2038,2266,30027.0,44634.0,24440.0,60500.0,45625.0,30880.0,697.0,20,49.4,14,16388,2893,19281
1656,NC,"Bladen County, North Carolina",4175,5167,30096.0,40610.0,21756.0,22566.0,,13520.0,641.0,30,51.1,25,29005,5293,34298
1657,NC,"Brunswick County, North Carolina",8143,10582,46859.0,49770.0,29439.0,26940.0,71154.0,41891.0,698.0,127,56.8,101,97741,17233,114974
1658,NC,"Buncombe County, North Carolina",17640,20616,45167.0,46805.0,26065.0,59263.0,51780.0,26533.0,662.0,211,47.0,150,207340,36174,243514
1659,NC,"Burke County, North Carolina",7762,9515,39360.0,41010.0,26906.0,55096.0,44107.0,21283.0,831.0,100,61.0,73,74370,12752,87122
1660,NC,"Cabarrus County, North Carolina",10512,12872,54720.0,59540.0,41394.0,53250.0,112269.0,38015.0,769.0,135,53.1,92,162964,24051,187015
